CustomerID,Gender,Age,Annual Income (k$),Spending Score (1-100),Cluster,Segment
0001,Male,19,15,39,2,Jóvenes entusiastas
0002,Male,21,15,81,2,Jóvenes entusiastas
0003,Female,20,16,6,5,Maduros cautelosos
0004,Female,23,16,77,2,Jóvenes entusiastas
0005,Female,31,17,40,5,Maduros cautelosos
0006,Female,22,17,76,2,Jóvenes entusiastas
0007,Female,35,18,6,5,Maduros cautelosos
0008,Female,23,18,94,2,Jóvenes entusiastas
0009,Male,64,19,3,5,Maduros cautelosos
0010,Female,30,19,72,2,Jóvenes entusiastas
0011,Male,67,19,14,5,Maduros cautelosos
0012,Female,35,19,99,2,Jóvenes entusiastas
0013,Female,58,20,15,5,Maduros cautelosos
0014,Female,24,20,77,2,Jóvenes entusiastas
0015,Male,37,20,13,5,Maduros cautelosos
0016,Male,22,20,79,2,Jóvenes entusiastas
0017,Female,35,21,35,5,Maduros cautelosos
0018,Male,20,21,66,2,Jóvenes entusiastas
0019,Male,52,23,29,5,Maduros cautelosos
0020,Female,35,23,98,2,Jóvenes entusiastas
0021,Male,35,24,35,5,Maduros cautelosos
0022,Male,25,24,73,2,Jóvenes entusiastas
0023,Female,46,25,5,5,Maduros cautelosos
0024,Male,31,25,73,2,Jóvenes entusiastas
0025,Female,54,28,14,5,Maduros cautelosos
0026,Male,29,28,82,2,Jóvenes entusiastas
0027,Female,45,28,32,5,Maduros cautelosos
0028,Male,35,28,61,2,Jóvenes entusiastas
0029,Female,40,29,31,5,Maduros cautelosos
0030,Female,23,29,87,2,Jóvenes entusiastas
0031,Male,60,30,4,5,Maduros cautelosos
0032,Female,21,30,73,2,Jóvenes entusiastas
0033,Male,53,33,4,5,Maduros cautelosos
0034,Male,18,33,92,2,Jóvenes entusiastas
0035,Female,49,33,14,5,Maduros cautelosos
0036,Female,21,33,81,2,Jóvenes entusiastas
0037,Female,42,34,17,5,Maduros cautelosos
0038,Female,30,34,73,2,Jóvenes entusiastas
0039,Female,36,37,26,5,Maduros cautelosos
0040,Female,20,37,75,2,Jóvenes entusiastas
0041,Female,65,38,35,1,Tradicionales de gasto medio
0042,Male,24,38,92,2,Jóvenes entusiastas
0043,Male,48,39,36,5,Maduros cautelosos
0044,Female,31,39,61,2,Jóvenes entusiastas
0045,Female,49,39,28,5,Maduros cautelosos
0046,Female,24,39,65,2,Jóvenes entusiastas
0047,Female,50,40,55,1,Tradicionales de gasto medio
0048,Female,27,40,47,4,Jóvenes de gasto medio
0049,Female,29,40,42,4,Jóvenes de gasto medio
0050,Female,31,40,42,4,Jóvenes de gasto medio
0051,Female,49,42,52,1,Tradicionales de gasto medio
0052,Male,33,42,60,4,Jóvenes de gasto medio
0053,Female,31,43,54,4,Jóvenes de gasto medio
0054,Male,59,43,60,1,Tradicionales de gasto medio
0055,Female,50,43,45,1,Tradicionales de gasto medio
0056,Male,47,43,41,1,Tradicionales de gasto medio
0057,Female,51,44,50,1,Tradicionales de gasto medio
0058,Male,69,44,46,1,Tradicionales de gasto medio
0059,Female,27,46,51,4,Jóvenes de gasto medio
0060,Male,53,46,46,1,Tradicionales de gasto medio
0061,Male,70,46,56,1,Tradicionales de gasto medio
0062,Male,19,46,55,4,Jóvenes de gasto medio
0063,Female,67,47,52,1,Tradicionales de gasto medio
0064,Female,54,47,59,1,Tradicionales de gasto medio
0065,Male,63,48,51,1,Tradicionales de gasto medio
0066,Male,18,48,59,4,Jóvenes de gasto medio
0067,Female,43,48,50,1,Tradicionales de gasto medio
0068,Female,68,48,48,1,Tradicionales de gasto medio
0069,Male,19,48,59,4,Jóvenes de gasto medio
0070,Female,32,48,47,4,Jóvenes de gasto medio
0071,Male,70,49,55,1,Tradicionales de gasto medio
0072,Female,47,49,42,1,Tradicionales de gasto medio
0073,Female,60,50,49,1,Tradicionales de gasto medio
0074,Female,60,50,56,1,Tradicionales de gasto medio
0075,Male,59,54,47,1,Tradicionales de gasto medio
0076,Male,26,54,54,4,Jóvenes de gasto medio
0077,Female,45,54,53,1,Tradicionales de gasto medio
0078,Male,40,54,48,4,Jóvenes de gasto medio
0079,Female,23,54,52,4,Jóvenes de gasto medio
0080,Female,49,54,42,1,Tradicionales de gasto medio
0081,Male,57,54,51,1,Tradicionales de gasto medio
0082,Male,38,54,55,4,Jóvenes de gasto medio
0083,Male,67,54,41,1,Tradicionales de gasto medio
0084,Female,46,54,44,1,Tradicionales de gasto medio
0085,Female,21,54,57,4,Jóvenes de gasto medio
0086,Male,48,54,46,1,Tradicionales de gasto medio
0087,Female,55,57,58,1,Tradicionales de gasto medio
0088,Female,22,57,55,4,Jóvenes de gasto medio
0089,Female,34,58,60,4,Jóvenes de gasto medio
0090,Female,50,58,46,1,Tradicionales de gasto medio
0091,Female,68,59,55,1,Tradicionales de gasto medio
0092,Male,18,59,41,4,Jóvenes de gasto medio
0093,Male,48,60,49,1,Tradicionales de gasto medio
0094,Female,40,60,40,4,Jóvenes de gasto medio
0095,Female,32,60,42,4,Jóvenes de gasto medio
0096,Male,24,60,52,4,Jóvenes de gasto medio
0097,Female,47,60,47,1,Tradicionales de gasto medio
0098,Female,27,60,50,4,Jóvenes de gasto medio
0099,Male,48,61,42,1,Tradicionales de gasto medio
0100,Male,20,61,49,4,Jóvenes de gasto medio
0101,Female,23,62,41,4,Jóvenes de gasto medio
0102,Female,49,62,48,1,Tradicionales de gasto medio
0103,Male,67,62,59,1,Tradicionales de gasto medio
0104,Male,26,62,55,4,Jóvenes de gasto medio
0105,Male,49,62,56,1,Tradicionales de gasto medio
0106,Female,21,62,42,4,Jóvenes de gasto medio
0107,Female,66,63,50,1,Tradicionales de gasto medio
0108,Male,54,63,46,1,Tradicionales de gasto medio
0109,Male,68,63,43,1,Tradicionales de gasto medio
0110,Male,66,63,48,1,Tradicionales de gasto medio
0111,Male,65,63,52,1,Tradicionales de gasto medio
0112,Female,19,63,54,4,Jóvenes de gasto medio
0113,Female,38,64,42,4,Jóvenes de gasto medio
